greenhouseDataId,ownedGreenhouse,airTemperature,humidity,ec,ph,ppm,volumeWaterTank,countWaterFlow,createdAt,updatedAt
1,1,32.40924236281043,47.15,1.92,5.52,442.8,96.45,62.0,2024-01-01 00:00:00,2024-01-01 00:00:00
2,1,31.89800223894337,43.87,1.37,6.62,505.73,169.2,58.0,2024-01-01 04:48:00,2024-01-01 04:48:00
3,1,28.723906307069075,54.78,2.2,5.87,781.17,156.88,98.0,2024-01-01 09:36:00,2024-01-01 09:36:00
4,1,29.258809771693777,37.79,1.9,5.89,348.24,139.34,55.0,2024-01-01 14:24:00,2024-01-01 14:24:00
5,1,33.08601262291991,89.61,2.34,6.05,632.01,123.24,33.0,2024-01-01 19:12:00,2024-01-01 19:12:00
6,1,28.702617658825023,50.35,2.13,6.95,618.73,55.04,73.0,2024-01-01 00:00:00,2024-01-01 00:00:00
7,1,32.81147110761933,87.32,1.89,5.86,533.96,178.62,80.0,2024-01-01 04:48:00,2024-01-01 04:48:00
8,1,34.763890616185854,62.83,2.08,6.94,397.7,180.12,51.0,2024-01-01 09:36:00,2024-01-01 09:36:00
9,1,31.80136363737543,64.85,1.94,6.8,429.84,84.01,41.0,2024-01-01 14:24:00,2024-01-01 14:24:00
10,1,34.801985600494056,87.85,1.98,6.84,742.91,121.47,67.0,2024-01-01 19:12:00,2024-01-01 19:12:00
11,1,33.34312636525184,51.0,2.0,6.45,540.21,110.42,82.0,2024-01-01 00:00:00,2024-01-01 00:00:00
12,1,31.767749765081177,61.59,1.9,6.33,384.0,88.73,89.0,2024-01-01 04:48:00,2024-01-01 04:48:00
13,1,28.35274950148074,36.81,1.53,6.24,721.26,101.07,86.0,2024-01-01 09:36:00,2024-01-01 09:36:00
14,1,32.32407412939514,62.82,2.48,5.51,535.07,100.87,62.0,2024-01-01 14:24:00,2024-01-01 14:24:00
15,1,30.97574918443305,38.64,2.29,6.87,440.5,155.69,69.0,2024-01-01 19:12:00,2024-01-01 19:12:00
16,1,28.294672331606517,57.68,1.88,5.71,434.45,95.3,72.0,2024-01-01 00:00:00,2024-01-01 00:00:00
17,1,34.395575147647996,65.47,1.51,5.79,404.82,119.57,14.0,2024-01-01 04:48:00,2024-01-01 04:48:00
18,1,32.93450880177865,64.39,1.83,6.21,355.92,77.88,20.0,2024-01-01 09:36:00,2024-01-01 09:36:00
19,1,34.036768538765614,66.78,1.7,6.98,352.9,150.74,41.0,2024-01-01 14:24:00,2024-01-01 14:24:00
20,1,29.391369600286122,79.51,1.24,6.63,583.71,57.4,69.0,2024-01-01 19:12:00,2024-01-01 19:12:00
21,1,31.337959013839175,66.02,1.93,6.9,605.95,173.61,73.0,2024-01-01 00:00:00,2024-01-01 00:00:00
22,1,29.322192892768363,49.82,1.61,5.72,563.6,143.03,61.0,2024-01-01 04:48:00,2024-01-01 04:48:00
23,1,29.112376965465753,53.56,2.02,5.98,345.6,159.67,32.0,2024-01-01 09:36:00,2024-01-01 09:36:00
24,1,28.956379580119016,88.35,1.23,6.05,485.15,151.45,14.0,2024-01-01 14:24:00,2024-01-01 14:24:00
25,1,30.548082908032367,68.54,1.27,5.55,458.13,73.93,17.0,2024-01-01 19:12:00,2024-01-01 19:12:00
26,1,34.10297255995111,52.92,1.94,5.64,557.85,116.43,63.0,2024-01-02 00:00:00,2024-01-02 00:00:00
27,1,34.60699017149246,41.85,2.31,6.03,639.67,131.49,10.0,2024-01-02 04:48:00,2024-01-02 04:48:00
28,1,28.878651237690445,57.47,1.31,6.57,502.27,195.88,28.0,2024-01-02 09:36:00,2024-01-02 09:36:00
29,1,29.355569988963307,57.17,2.37,6.07,608.55,162.3,88.0,2024-01-02 14:24:00,2024-01-02 14:24:00
30,1,31.62447249507866,83.26,1.78,6.07,686.93,51.67,79.0,2024-01-02 19:12:00,2024-01-02 19:12:00
31,1,34.1289829784434,32.02,2.15,6.99,590.03,66.58,42.0,2024-01-02 00:00:00,2024-01-02 00:00:00
32,1,30.3474231746097,52.67,1.64,6.57,378.52,196.44,26.0,2024-01-02 04:48:00,2024-01-02 04:48:00
