polybagDataId,ownedPolybag,dayAfterPlanted,ec,n,p,k,ph,createdAt,updatedAt
1,1,1,1.0949342608501658,24.27,12.95,34.22,6.53,2024-01-01 00:00:00,2024-01-01 00:00:00
2,1,1,1.2721216201337158,11.31,6.17,23.65,5.55,2024-01-01 04:48:00,2024-01-01 04:48:00
3,1,1,1.8711764234389805,13.35,12.97,31.55,5.84,2024-01-01 09:36:00,2024-01-01 09:36:00
4,1,1,1.3042872234389549,22.66,7.09,24.98,6.4,2024-01-01 14:24:00,2024-01-01 14:24:00
5,1,1,1.4539960670738206,14.96,6.59,23.67,6.96,2024-01-01 19:12:00,2024-01-01 19:12:00
6,2,1,1.9944672140661766,25.77,12.96,26.5,6.09,2024-01-01 00:00:00,2024-01-01 00:00:00
7,2,1,1.6922060939541772,16.27,8.45,27.15,6.16,2024-01-01 04:48:00,2024-01-01 04:48:00
8,2,1,1.7061469194773187,27.01,14.88,27.72,6.03,2024-01-01 09:36:00,2024-01-01 09:36:00
9,2,1,1.1276146390505684,25.13,12.57,30.42,6.81,2024-01-01 14:24:00,2024-01-01 14:24:00
10,2,1,1.1812520339379584,14.46,9.53,23.76,5.58,2024-01-01 19:12:00,2024-01-01 19:12:00
11,3,1,1.4519971291476623,19.8,7.81,24.68,6.09,2024-01-01 00:00:00,2024-01-01 00:00:00
12,3,1,1.5489235518397992,21.21,7.11,28.48,6.74,2024-01-01 04:48:00,2024-01-01 04:48:00
13,3,1,1.7381742007837389,22.86,9.63,15.31,5.91,2024-01-01 09:36:00,2024-01-01 09:36:00
14,3,1,1.2185891704105711,19.07,12.94,26.57,6.75,2024-01-01 14:24:00,2024-01-01 14:24:00
15,3,1,1.3622744790595063,15.08,8.53,20.13,5.81,2024-01-01 19:12:00,2024-01-01 19:12:00
16,4,1,1.2877463270948586,19.02,9.0,16.75,6.4,2024-01-01 00:00:00,2024-01-01 00:00:00
17,4,1,1.1565761010948439,13.69,14.98,31.71,6.87,2024-01-01 04:48:00,2024-01-01 04:48:00
18,4,1,1.8942247240993715,16.79,11.84,32.67,5.72,2024-01-01 09:36:00,2024-01-01 09:36:00
19,4,1,1.1265574913093768,27.59,11.28,33.42,6.73,2024-01-01 14:24:00,2024-01-01 14:24:00
20,4,1,1.989246538310943,10.55,6.38,29.38,5.82,2024-01-01 19:12:00,2024-01-01 19:12:00
21,5,1,1.4473023992851322,28.29,9.82,32.68,5.9,2024-01-01 00:00:00,2024-01-01 00:00:00
22,5,1,1.5207019823346477,10.12,7.81,34.69,5.75,2024-01-01 04:48:00,2024-01-01 04:48:00
23,5,1,1.9772020285365888,13.83,12.05,23.57,6.45,2024-01-01 09:36:00,2024-01-01 09:36:00
24,5,1,1.3904683422662907,19.09,7.18,16.82,6.16,2024-01-01 14:24:00,2024-01-01 14:24:00
